Title;Rating Number;Rating Word;Review;Author Information
Hitman 2 Review - You Can Stop Hitting Me Now;8;Great; Fantastic new level designs, minor but meaningful additions, and a few excellent bonuses help strengthen the endurance of the Hitman series.;Edmond fondly remembers needing to use the bathroom in Hitman: Codename 47, and the Hitman reboot was one of his favorite games of 2016. He reviewed Hitman 2 on PC with some additional playtime on PS4 using codes provided by the publisher.
Call Of Cthulhu Review - Squid Logic;5;Mediocre; Call of Cthulhu is a mostly competent, occasionally chilling adventure ruined by unspeakable horrors.;David Wildgoose wants to spare you the pain he endured. If you do play this game then know this: In the art gallery section, the dagger you need to thrust into the painting is the one furthest away from you at the start. You'll know it when you get there.
Black Bird Review - Featherweight;5;Mediocre; Black Birdâ€™s irreverent take on shoot-'em-up is fun while it lasts, but thereâ€™s not enough content to sustain repeat playthroughs.;Tom finished up Black Bird in less than 30 minutes but plugged away for more than five hours to climb ever so slowly up the leaderboards. A Switch code was provided by the developer for the purposes of this review.
My Hero One's Justice Review - In Their Own Quirky Ways;6;Fair; My Hero One's Justice captures the feeling of superpowered heroes and villains fighting against one another in destructive arena battles but doesn't do justice to My Hero Academia's story.;After keeping up with the My Hero Academia manga, anime, and Vigilantes spin-off, as well as playing My Hero One's Justice for 10 hours, Jordan can confirm that Bakugo is best boy. He played on Xbox One X using a code provided by Bandai Namco for the purposes of this review.
Gwent Review - Heart Of The Cards;8;Great; Gwent's revamped ruleset and eagerness to reward your time spent with it make it a compelling multiplayer endeavor in The Witcher universe.;Alessandro stuck with the Northern Realms for most of his decks and became really skilled at chaining together Charge and Order cards. He still hasn't managed a full nine-game streak in Arena, though. Code was provided by the publisher for the purposes of this review.
Transistor Review;8;Great; With a gorgeous audiovisual style, unconventional science fiction narrative, and empowering combat system, Transistor is a distinctive and memorable experience.;Carolyn played through Transistor's story twice on the PlayStation 4, using the new game plus option to go through it a second time. She also tested out the PC version a bit. In the interests of transparency, she'd like you to know that she was an avid reader of GameSpot when Supergiant Games' creative director, Greg Kasavin, wrote for the site, and she has had friendly chats with him on a few occasions.
Red Dead Redemption 2 Review - Wild Wild West;9;Superb; PS4 and Xbox One's RDR 2 succeeds as both a prequel to the first Red Dead Redemption and a story in its own right;Kallie spent around 55 hours playing Red Dead Redemption 2, completing the main story, a handful of side quests, and a robbery or two. She played on PS4 Pro using a code provided by Rockstar for the purposes of this review.
Football Manager 2019 Review - A Winning Strategy;8;Great; Football Manager 2019 redesigns its tactical interface to give you the tools to create a playstyle you'll spend the next 200 hours obsessing over.;Richard has been a wannabe football manager for over 10 years now and spent around 50 hours tinkering with every aspect of his team in Football Manager 2019. A PC copy of the game was provided by the publisher for review.
Deracine Review - Elementary;5;Mediocre; Deracine's gorgeous presentation masks a game that's lacking innovative ideas while misusing the few it does have.;Alessandro explored the mysterious boarding school through two separate playthroughs, with the first journey taking around four hours to complete. He consistently tried to get past the school's black cat without any success. Code was provided by the publisher for the purposes of this review.
Cities: Skylines - Industries Review - The Up And Up;7;Good; Create smokestacks and jobs in Industries, the detailed new expansion for Cities: Skylines that lets you put natural resources to good use.;Brett has played many, many hours of Cities: Skylines for review. He dedicated about a dozen hours to industrializing Cities: Skylines using a code provided by the publisher for purposes of this review.
SNK 40th Anniversary Collection Review - It Belongs In A Museum;8;Great; A portion of SNK's pre-Neo Geo library is given the archaeological treatment in the diverse and educational SNK 40th Anniversary Collection.;Peter has been a fan of SNK for years, but has spent relatively little time playing games from the pre-Neo Geo era. He played each game in the collection a few times while preparing for his review, and wholeheartedly appreciates the available assist options that made up for his lack of skill. GameSpot was provided with a complimentary copy of the game for review.
Reigns: Game Of Thrones Review: A Westerosi Romp;8;Great; Reigns: Game of Thrones makes smart use of the license on which its based, offering smart writing and a wide array of scenarios to tackle.;Chris is a big Song of Ice and Fire fan who foolishly thinks we still might get a new book someday. He spent more than six hours exploring Reigns: Game of Thrones' many possibilities and is looking forward to uncovering more of its mysteries. Devolver Digital provided an iOS code for the purpose of this review.
Dark Souls Remastered Switch Review: A Very Special Revisit;8;Great; With Dark Souls Remastered now on Nintendo Switch, you'll be able to experience one of the decade's greatest role-playing games in an interesting new way.;Alessandro has been following From Software's Souls series for nearly 10 years, and has played every installment. Bloodborne is his personal favorite. Playing on the Nintendo Switch, he spent well over 25 hours re-experiencing the hardships and eventual triumphs found in Dark Souls. Bandai Namco provided codes for the purposes of this review.
Call Of Duty: Black Ops 4 Review - Zombies Blackout Multiplayer;8;Great; Call of Duty: Black Ops 4 is both broad and deep, but the star is its smartly executed take on battle royale, Blackout.;Kallie started playing FPS games at a young age with her dad, who still plays Call of Duty. She lost track of how many hours of Black Ops 4 she played, but she split her time evenly between multiplayer, Zombies, and Blackout. Activision provided PS4 copies for the purposes of this review.
Return Of The Obra Dinn Review: The Good Ship;9;Superb; Return of the Obra Dinn is a startlingly original detective adventure full of murder, mutiny, and monsters.;"David Wildgoose filled his own spiral-bound pad with notes reading ""Frenchman was torn apart?"", ""guy who was accidentally shot after being spiked and crawling away was shot by another guy"" and ""last seen on deck grabbed by tentacle"" during the dozen or so hours it took to play through this game. He recommends you do the same."
SoulCalibur 6 Review - The New Legend;8;Great; The sixth entry in Bandai Namco's weapons-based fighting series makes a strong return.;Tamoor has been a Nightmare main since the first SoulCalibur. His thirst for souls is endless. A PS4 copy of the game was provided by the publisher for review.
WWE 2K19 Review: A Step In The Right Direction;7;Good; While not much has changed between the ropes, WWE 2K19 gives you more reasons to play by featuring a plethora of new modes and content.;Richard has been watching wrestling since the days of WWE's Attitude Era, and spent around 30 hours with WWE 2K19. He also wishes Roman Reigns a speedy recovery. A PS4 copy of the game was provided by the publisher for review.
Thronebreaker: The Witcher Tales Review - Queen Of Cards;9;Superb; Thronebreaker's compelling characters accent a strong re-imagining of Gwent and a gripping single-player story.;Alessandro rode into battle with Meve and slayed countless cards throughout the 25-hour campaign, gathering a good percentage of optional hidden chests, beating most puzzle challenges, and making incredibly tough decisions along the way. GameSpot was provided with a complimentary copy of the game for review.
Lego DC Super-Villains Review: Mediocre Mischief-Makers;5;Mediocre; Despite an impressive roster and some top-notch actors to voice them, Lego DC Super-Villains is a tedious game that fails to capitalize on its best qualities.;Justin Clark finished Lego DC Super-Villains' story and spent about three hours fooling around in Free Play. He also spent four hours one day in the character creator. He regrets nothing. A review code was provided by the publisher.
Super Mario Party Review - Test Those Friendships;7;Good; With Super Mario Party on Switch, Nintendo's 20-year-old party franchise ditches its staple randomness for more of a strategic game.;When Jordan first tried the original Mario Party, he had no idea the game would inspire a hobby that would eventually become a career. It took Jordan about 15 hours to gather Super Mario Party's five Gems and achieve Super Stardom. Nintendo provided codes for the purposes of this review.
NBA 2K Playgrounds 2 Review - Ball Another Day;5;Mediocre; There's fun to be had in 2K's arcade-style basketball game, but a lack of variety and flawed gameplay make for a missed opportunity.;Michael was hyped to team up Patrick Ewing and Gary Payton, two of his favorite players growing up, in NBA 2K Playgrounds 2. He misses balling up at Skyline Park back home in Southeast San Diego where ball is life. He put around 10 hours into NBA 2K Playgrounds 2 for this review, and code was provided by 2K Sports. Michael also reviewed NBA 2K19, the simulation basketball experience from the same publisher.
The Missing Review - Lost And Found;8;Great; The Missing is a dark, confronting puzzle-platformer that offers light at the end of the tunnel.;David Wildgoose never liked camping and The Missing has only reaffirmed that belief. He now also doesn't like windmills, sawmills, those cymbal-clapping monkey toys, and islands. The game was completed in around 6 hours using a code provided by Arc System Works.
Starlink: Battle for Atlas Review - Endless Space;7;Good; Starlink is a fun, albeit repetitive, game of space combat and exploration--but the digital version of the game is the way to go if you're on a budget.;James O'Connor was sent the entire toy line and the Digital Deluxe edition of the game by Ubisoft for review. He tested the toys during his 20-odd hours with the game but preferred the convenience of the digital ships, pilots, and weapons after the first few hours. He's a big Star Fox fan, too.
Chasm Review: The Battle Below;8;Great; Chasm's sharp combat mechanics and rich visual design make it easier to bear the inconsistent difficulty curve.;Tom took more than 12 hours to finish Chasm (not including reloading saves after deaths) using a Steam code provided by the developer. He saw 99.9% of the map and cannot believe he couldn't find the last secret.
Luigi's Mansion Review - Old Haunts;7;Good; The GameCube classic comes to the 3DS with minimal changes, and it's held up pretty well.;James O'Connor first played through Luigi's Mansion in 2003 and is happy to return to it half a lifetime later. He spent about five and a half hours finishing the game (with every portrait ghost and Boo caught) on a New Nintendo 3DS XL, then spent some further time in the Hidden Mansion mode. A copy of the game was supplied by Nintendo.
Assassin's Creed Odyssey Review - Glory Of Sparta;8;Great; With Assassin's Creed Odyssey on PC, PS4, and Xbox One, Ubisoft continues the series' expansion into a bigger open world, offering an impressive follow-up to Origins.;Alessandro is a longtime fan of the Assassin's Creed series and was looking forward to diving into Odyssey's large-scale adventure. Playing on both the PS4 and PS4 Pro, he spent well over 60 hours exploring the game's massive world. Ubisoft provided codes for the purposes of this review.
Armello Review - Nintendo Switch Update;8;Great; Board gaming come to life, with none of the missing pieces.;Janine Hawkins had no idea she wanted a mash-up of beloved childhood murder planning kit 13 Dead End Drive and Brian Jacques' Redwall books, but that's an itch that Armello definitely scratches. Even better, she doesn't have to play it alone on the living room carpet.
Pathfinder: Kingmaker Review - The Classics;6;Fair; Pathfinder: Kingmaker is a classical RPG brought to PC with some exceptional moments, though it's dragged down by a brutal difficulty curve.;Lifelong western RPG fan Dan Starkey got his start on roleplaying in his early teens, starting with Pathfinder before making the transition to d20-based video games like Baldurâ€™s Gate and Knights of the Old Republic. He was provided code on release day for the purposes of review.
Child of Light Review;8;Great; Child of Light is a singular adventure that embraces sadness in a beautiful, affecting way.;Tom was touched by the somber tone of Child of Light and wishes more games would explore this untapped feeling. He spent more than 15 hours within this world, and is eager to revisit it.
World of Warcraft: Battle For Azeroth - Come One Come All;7;Good; Faction politics are the backbone of Battle for Azeroth, but the real victories are the friends that you make along the way.;Ginny Woo spends way too much time in online universes and not enough time sleeping. For the purposes of this review, Ginny reached max level on both factions and took the scenic route through all the leveling zones in Battle for Azeroth. In terms of post-launch content, sheâ€™s cut her teeth on the first two wings of Uldir and assaulted Arathi Highlands as part of the Hordeâ€™s latest military effort.
My Memory of Us Review - War Has Changed;5;Mediocre; A puzzle-platformer as World War II allegory that can't settle on an appropriate tone or interesting puzzles.;Schindler's List was the first movie that made James cry. He spent just over five hours playing through My Memory of Us. A code was provided by the publisher for the purposes of this review.
FIFA 19 Nintendo Switch Review - Offside;5;Mediocre; Nintendo Switch gets an updated version of FIFA 19, but it's lacking much of what makes EA's footballing giant special.;Oscar spends more time trading FUT players than he cares to admit. EA provided complimentary copies of FIFA 19 on Switch for the purposes of this review.
Mega Man 11 Review - An Uneven Retro Romp;7;Good; Mega Man 11 is a solid return for the Blue Bomber, but it's held back somewhat by overly long and frustrating stage design.;Heidi has been playing Mega Man games since the original. She has a soft spot for X4, but 3 is her favorite of the classic series. She also ran a Mega Man music Geocities page as a teenager. Heidi completed Mega Man 11 on both Casual and Normal difficulties for this review using a code provided by the publisher.
The Bard's Tale IV: Barrows Deep Review - Lament;4;Poor; You'll need a lot of patience to make it through InXile Entertainment's nostalgic RPG, The Bard's Tale IV: Barrows Deep.;Brett spent over 60 hours trudging through the old-time conundrums and combat of The Bard's Tale IV: Barrows Deep. Code was provided by the publisher for the purposes of this review.
Destiny 2: Forsaken Review - A Grindhouse;8;Great; Destiny 2's Forsaken expansion is dense and rewarding, though it does require a bit of patience.;Kallie lost track of how many hours of Forsaken she played over the last three and a half weeks, but she did get Ace of Spades before they nerfed the quest requirements. She did it for Cayde. She played on PS4 using code provided by the publisher.
Fist Of The North Star: Lost Paradise Review - Be The Tough Boy;8;Great; Fist of the North Star: Lost Paradise offers a solid display of drama and action that captures exactly what makes the series so great.;"Matt became a huge fan of Fist of the North Star in the lead-up to Lost Paradise's release. He teared up a few times while playing and proclaimed in shock, ""To think that I, Matt, still had tears left!"" He played about 30 hours of the game using a review code provided by Sega."
Final Fantasy XV: Pocket Edition HD Review - Nintendo Switch;7;Good; Square delivers most of Final Fantasy XV in a smaller, but no less epic, package.;Justin Clark spent 40 hours with Pocket Edition on Switch. He will not rest until thereâ€™s a Persona: Dancing All Night-type game with Noctis and crew performing BTS songs. A review code was provided by the publisher.
FIFA 19 Review - Golazo;7;Good; FIFA 19 is back for a new season, but how do its brand new Kick Off modes, third chapter of The Journey, and new FUT features fare?;For his sins, Oscar spends most of his time attempting to get his beloved Bristol City into the Champions League. Europe in five years, here we go! Complimentary codes were provided by EA for the purposes of this review.
Cities: Skylines Review - In The Zone;8;Great; Smart attention to details like zoning and policy decisions make Cities: Skylines the most authentic city-builder you can play.;Even though real-life mayor Brett Todd plays games to get away from real-world politics, he still enjoyed spending some 20 hours in the virtual world of Cities: Skylines.
Forza Horizon 4 Review - Shifting Gears Shifting Seasons;9;Superb; Playground Games continues to master the art of driving games that are both accessible and complex, and Horizon 4's numerous meaningful changes keep the series lively and looking fantastic.;In the past two years, Edmond has road-tripped across both Great Britain and Australia, and drifted cars on a frozen lake. Horizon is cheaper, though. He spent roughly 37 hours playing on PC with additional testing on Xbox One X, listening to nothing but Timeless FM, using a code provided by Microsoft.
The Gardens Between Review - Dance Among The Stars;8;Great; With a bittersweet story and a gorgeous, dreamlike world, The Gardens Between is time-bending puzzle game that you won't soon forget.;Peter played through The Gardens Between in a few hours on Nintendo Switch using complimentary code provided by The Voxel Agents.
Wasteland 2: Director's Cut Nintendo Switch Review;8;Great; Wasteland 2 gets the Switch port treatment, bringing a deep, involved RPG to Nintendo's hybrid console.;Long-time Western RPG fan Dan Starkey got his start on roleplaying in his early teens, starting with Pathfinder and moving into other systems before shuffling over to their video counterparts like KOTOR. He was provided code ahead of release for the purposes of review.
Zone Of The Enders: The 2nd Runner - MARS Review;5;Mediocre; Zone of the Enders comes to the current gen in better shape than ever, but still an artifact of its time.;Justin Clark played through ZOE: 2nd Runner in about seven hours. He still has no idea what the hell the title means. A code was provided by the publisher.
Frozen Synapse 2 Review - Cool-Headed;8;Great; Frozen Synapse 2 is a stylish, tense, and tactical game of chess. With guns.;James Swinbanks spent 21 hours trawling the cyber streets and outwitting foes with his Bureau-8 squad, using code provided by the publisher for review purposes.
Nintendo Labo Vehicle Kit Review: The Most Fun Labo Yet;7;Good; Labo's newest kit features much more gameplay than its predecessor, but it's still best enjoyed with a junior partner in tow.;Randolph and his nine-year-old son tag teamed building the various Joy-Cons, with Bastian doing most of the folding and Randy taking over any time rubber bands or fiddly stickers were involved. Bastian, however, did most of the work in Adventure Mode. GameSpot was provided the Labo Vehicle Kit courtesy of Nintendo.
NHL 19 Review - A Barnburner;8;Great; NHL 19 controls exceptionally well and looks fantastic, and the new outdoor hockey mode nails the essence of hockey culture.;Eddie spent around 20 hours playing NHL 19 using a code provided by Electronic Arts.
Undertale Review - Nintendo Switch Update;9;Superb; Undertale exceeds expectations, when it isn't busy subverting them.;Tyler Hicks grew up on single-player RPGs, with Suikoden 2 topping his list of favorites. For this review, he played through Undertale twice.
Star Control: Origins Review - Space Oddity;6;Fair; Star Control: Origins is a jolly space adventure that falters when it takes on too much action.;David Wildgoose started writing about games professionally the year after Star Control 2 was released. If you laid end-to-end every word he's written about games in those 25 years it would probably stretch to the moon and back, as long as you printed them in a very large font. He spent around 30 hours with Star Control: Origins with a code provided by the publisher.
Life Is Strange 2: Episode 1 Review - What Doesn't Kill Us;9;Superb; Life Is Strange 2 kicks off with a diverse cast of strongly-defined characters, a narrative shaped by real-world sociopolitical issues, and the love between two brothers at the root of ...;Jess has played every Life Is Strange installment and spent eight hours with Life Is Strange 2: Episode 1 on PC over the course of two playthroughs: one where she played as a lawful, friendly Sean and another as the world's worst brother. The latter made her feel really bad.
Broken Sword 5: The Serpent's Curse Review;8;Great; Broken Sword 5: The Serpent's Curse returns the series to its former glory with excellent storytelling and characters.;Cameron Woolsey has clicked his way through many adventures starring cartoon dogs, rabbits, and a talking skeleton. For the purpose of this review, Cameron played the game from start to finish.
Lamplight City Review - Cold Case;6;Fair; Lamplight City is a detective adventure with a lot of good ideas, but it executes them with too light a touch.;James O'Connor spent just under 12 hours finishing Lamplight City, and then went back in to explore different options and pathways. He's a long-time fan of point-and-click adventure games. Review code was provided by the publisher.
Dragon Quest XI: Echoes Of An Elusive Age Review - Back To The Good-Old Days;9;Superb; Steeped in tradition and not afraid to show it, Dragon Quest XI reflects the best qualities of the series' past.;Heidi has been playing RPGS since her childhood. She put 85 hours into finishing Dragon Quest XI and doesnâ€™t regret a moment of the time spent with her merry adventuring band. Also, her favorite game in the series is Dragon Quest V. Complimentary review code was provided by Square Enix.
Valkyria Chronicles 4 Review - Soar High;8;Great; With a strong return to its unique strategy roots, Valkyria Chronicles 4 is the franchise's golden ticket to Valhalla.;Ginny's introduction to the Valkyria Chronicles series was the franchise's first installment on the PS3. After an unfortunate skirmish with Valkyria Revolution, she was presently surprised to find Valkyria Chronicles 4 in fighting form and engaged in about 40 hours of friendly fire on Nintendo Switch, using a code provided by the publisher.
Telltale's The Walking Dead: The Final Season Episode 2 Review;8;Great; What might be the final episode of Telltale's The Walking Dead is beautiful, brutal, and bittersweet.;Justin Clark played through Suffer the Children twice. We'll always have Fabletown. A code was provided by the publisher.
Transference Review - In Another World;7;Good; Transference's distressing subject matter and eerie atmosphere make for a strong horror experience, even if some of its potential is squandered by a non-committal narrative.;Alessandro felt uncomfortable in Transference the entirety of its three-hour runtime. He explored more of the haunting apartment after the credits rolled to uncover additional video logs and test out VR functionality. Code was provided by the publisher for the purposes of this review.
Monster Hunter Generations Ultimate Review - A Formidable Beast;7;Good; Monster Hunter Generations Ultimate is the epitome of a good game that can be hard to recommend.;Dan Starkey's been a fan of action-adventure games of all sorts for two decades. He was a latecomer to the Monster Hunter series, starting with the fourth entry. He ran more than his share of quests with friends on Monster Hunter Generations, however, and was a big fan of the streamlined Monster Hunter World. He was provided code by the publisher for the purposes of review and spent three dozen hours revisiting old friends and foes.
NBA 2K19 Review - Another Year Another Baller;7;Good; This year's iteration of NBA 2K packs plenty of game modes and deep mechanics that occasionally falter. And unfortunately again, VC rules everything around it.;Michael's been breaking ankles on screen since NBA Live 95 back when he loved watching Gary Payton and the Sonics. He misses balling up at Skyline Park in his hometown of Southeast San Diego even though he always got crossed up. He's played past NBA 2K games to get hyped for each season, and spent 40 hours with NBA 2K19 to dig into MyCareer, MyTeam, MyGM, and Play Now matches. The game was provided by 2K Sports for review.
The Golf Club 2019 Review;8;Great; With a new PGA Tour license, difficult but fair controls, and a pleasing presentation, The Golf Club 2019 is a straight shot down the fairway.;Eddie Makuch spent around 20 hours playing The Golf Club 2019. He played on PC using a code provided by 2K.
Little Dragons Cafe Review - Dragging On;6;Fair; Little Dragons Cafe's charming world and cafe management are enjoyable, but it's held back by significant pacing issues.;Kallie played a lot of Harvest Moon: A Wonderful Life on GameCube, and Little Dragons Cafe reminds her of those times--for better and worse. She played 40 hours using a review code provided by the publisher.
Hollow Knight Review - An Exceptional Adventure;9;Superb; Hollow Knight's sprawling world, precise combat, and wealth of content make its trip through Hollownest engrossing and rewarding.;Alessandro spent over 30 hours exploring every nook and cranny of Hollownest, achieving just under 70% completion on his first run. He spent a few more hours tackling the game's free DLC and falling countless times to the brutal challenges of Godmaster.
The Messenger Review: Shuriken Sharp;8;Great; Inspired by the 8-bit and 16-bit action-platformers of yesteryear, The Messenger is an ambitious and well-balanced side-scroller that's as difficult as it is funny.;Alexander spent over 20 hours perfecting his vast array of ninja skills in his successful delivery of the all-important scroll. Additional testing of the Switch version was handled by GameSpot staff. Complimentary review code for The Messenger was provided for the purposes of this review.
Dragon Ball FighterZ Review: The Fast And The Furious;9;Superb; Dragon Ball FighterZ is a great fighting game and an exciting revitalization of Dragon Ball Z's glory days.;Peter has considered himself a fan of both Dragon Ball and fighting games for the last 25 years. He completed all three story arcs and tested the other modes in the retail version of FighterZ, in addition to participating in the open beta, prior to writing his review. GameSpot was provided with complimentary copies of the game by Bandai Namco.
Into The Breach Review: A Mechanized Masterpiece;9;Superb; Subset Games' FTL follow-up is a pristine and pragmatic tactical gem with dynamic conflicts that will inspire you to jump Into the Breach again, and again, and again.;Edmond Tran has spent over 100 hours with FTL across different platforms, and 40 hours with Into The Breach so far, with a copy provided by the developer. He's still hanging out for that spiritual successor to Front Mission 3, though.
Divinity: Original Sin 2 Review - Definitive Edition Update;10;Essential; Divinity: Original Sin II Definitive Edition manages to make an already fantastic RPG even better.;Brett spent more than 70 hours questing his way to godhood in the original Divinity: Original Sin 2 on PC, and then did it all over again with the Definitive Edition on PS4 (and had no regrets!). GameSpot was provided with complimentary copies of the game by Larian Studios.
Marvel's Spider-Man PS4 Review: Amazing Fantasy;9;Superb; A spectacular cinematic presentation and sensational core mechanics help Insomniac's take on a Spider-Man game shine, in spite of some unimaginative open-world activities.;Edmond isn't ashamed to tell you that his favorite superhero game is Marvel Puzzle Quest. He hit 100% completion on Marvel's Spider-Man before writing this review, using a code provided by the publisher.
Yakuza Kiwami 2 Review: Double Dragon;8;Great; Old and new components of the Yakuza franchise combine to create one of the series' strongest entries.;Edmond Tran has been a devoted Yakuza series fan since 2006, and Yakuza 2 has always been his favorite. He spent over 25 hours with Yakuza Kiwami 2, finishing the campaign and half of the optional content using a code provided by the publisher.
PES 2019 Review;9;Superb; Pro Evolution Soccer 2019 continues the series' excellent run of form, introducing smart improvements that enhance the on-pitch action.;Richard has been playing PES since the good old days when it still had the International Superstar Soccer moniker. So far he's spent around 30 hours on PES 2019, with many more to come. Complimentary review code was provided by Konami.
Planet Alpha Review: A Beautiful Planet;7;Good; Planet Alpha's glorious vistas are worth seeing, even though its mechanics aren't particularly unique.;James O'Connor enjoyed how bright and beautiful Planet Alpha was during his eight-hour journey through the game. He's also wondering if it's time to replay Limbo, though. He played on PlayStation 4 using a code provided by the publisher.
Freedom Planet Review -- Speedy Ambitions;7;Good; Freedom Planet's fast-paced thrills and challenging boss fights make for a joyous retro outing, but don't expect the same highs from its mediocre story.;Matt is a big fan of Sonic and is always down to play a game inspired by Sega's iconic blue hedgehog. He played about six hours of Freedom Planet using a review code provided by the publisher.
Shadow Of The Tomb Raider Review - Guerilla Girl;6;Fair; Raiding ancient tombs and exploring dense environments is still outstanding in Lara's latest, but the mechanics of the reboot series are getting as rough and unpredictable as the terrain.;Tomb Raider was the reason Edmond begged for a new Pentium PC in 1996, and he's played most of Lara's adventures since then. He finished Shadow of the Tomb Raider's campaign with 89% total game completion, flipping between normal and hard difficulties, using a code provided by Square Enix.
428: Shibuya Scramble Review - When Fates Collide;8;Great; The unique presentation and excellent storytelling of 428: Shibuya Scramble make it a great visual novel experience.;Heidi has enjoyed many visual novels and was eager to see why so many folks overseas were so excited about 428. She finished all the scenarios and got to the default ending, but sheâ€™s now going back and replaying things to see if she can unlock another outcome. Review code was provided by the publisher.
Strange Brigade Review - Co-op With Style;7;Good; Strange Brigade is a delightful cooperative shooter with some technical issues and an idea that isn't given enough room to breathe.;Dan Starkey has craved co-op adventures since he ran through the original Perfect Dark with some friends back in grade school. Since then he's loved working with pals and buds to clear some of gaming's most enriching challenges. He spent 14 hours over the course of a week dipping into the '30s-inspired world of Strange Brigade. A copy of the game was provided by the publisher for the review.
NBA Live 19 Review - Dribbling Forward;7;Good; EA's NBA Live franchise returns with its best effort in a while capturing the spirit and atmosphere of basketball culture, but it's not without its problems.;Eddie played around 20 hours of NBA Live 19, including a Franchise season with the Celtics. He played on Xbox One X using a code provided by the publisher.
Two Point Hospital Review - Laughter Is The Best Medicine;8;Great; Two Point Hospital offers more than just nostalgia for classic management sims.;In the 20 hours he spent with Two Point Hospital, James Swinbanks cured 1284 patients, and heâ€™s not even a real doctor! He played using code provided by the publisher for review purposes.
Death's Gambit Review - A Maddening Mission;6;Fair; This 2D action-platformer is a gorgeous but frustrating test of patience.;James Swinbanks took 15 hours to wipe the world of its immortal inhabitants and appease Death. He used PC code provided by the publisher for review purposes.
Donut County Review: Pit Falls;6;Fair; Donut County is high on charm but short on substance;
Mega Man X Legacy Collection 1 + 2 Review: Mega Museum;8;Great; An homage to the full breadth of Mega Man X's history shows that some parts of its legacy have aged much better than others.;Steve tested both collections on Switch and PlayStation 4. Capcom provided GameSpot with complimentary download codes of the game
The Walking Dead - The Final Season Episode 1: Done Running Review;8;Great; Telltale begins the final verse of Clementine's ballad on a high note.;Justin Clark played through Done Running twice, taking about two hours for each playthrough. He once had an afro just like A.J.'s. He doesn't like talking about that time of his life much. A code was provided by the publisher.
